Service,Team,Cost Now ($),Cost Last Mo ($),Usage Now,Usage Last Mo
EC2,Platform,2115,1913,6537,5805
S3,Platform,1711,1300,7005,6904
RDS,Data,1853,1713,5803,5248
Lambda,Growth,4995,4342,4329,4052
CloudFront,Platform,1695,1219,5217,5167
ElastiCache,Data,2195,1670,9096,6439
SageMaker,ML,1517,1236,8523,6937
EKS,Platform,4105,3166,1880,1554
SQS,Growth,2424,2181,8129,7424
DynamoDB,Data,517,477,9784,8343
Redshift,Data,4509,4413,8112,7074
API Gateway,Growth,4099,2519,3305,3274
VPC NAT Gateway,Platform,2131,1827,4871,3786
Glue,Data,1189,953,5116,5014
Kinesis,Growth,3122,1916,2931,2871
Athena,Data,1960,1458,5794,4979
Step Functions,Growth,3356,2523,7803,6219
Elastic Beanstalk,Platform,1973,1393,5444,4698
Route53,Platform,3750,3280,1235,979
Secrets Manager,Security,2325,1431,8448,7985
