Record ID,Description,Owner Team,Tagged Teams,Severity
R01,EC2 instance unreachable,Infra,DevOps,Critical
R02,SSL certificate expired,Security,"Infra, DevOps",High
R03,DB connection pool exhausted,Database,Infra,Critical
R04,Employee phishing simulation results,Security,,Medium
R05,Load balancer config drift,DevOps,Infra,High
R06,Network switch firmware outdated,Network,Infra,Low
R07,IAM policy violation — root activity,Security,IT,Critical
R08,Production deployment failed,DevOps,,High
R09,Database backup failure,Database,IT,Critical
R10,Firewall rule exception request,Security,Network,Medium
