platform,category,monthly_active_users_cr,avg_order_value_rs,commission_pct,delivery_time_days,return_rate_pct,seller_count,customer_rating,gmv_cr_per_month
Amazon India,E-commerce,4.8,2250,12,2.5,8.2,850000,4.5,12500
Flipkart,E-commerce,4.5,1800,14,2.8,9.5,620000,4.3,11200
Meesho,E-commerce,3.2,450,8,4.5,12,1800000,4,2800
Paytm,Payments,3.5,4500,1.5,0,0,25000000,4.2,15000
Google Pay,Payments,4.2,3200,1.2,0,0,30000000,4.6,18000
PhonePe,Payments,3.8,2800,1.3,0,0,28000000,4.4,16000
Zomato,Food Delivery,1.8,420,22,0.4,4.5,350000,4.1,2200
Swiggy,Food Delivery,1.6,380,24,0.4,5,280000,4,2000
Zepto,Quick Comm.,0.8,320,18,0.2,3.2,45000,4.3,850
Blinkit,Quick Comm.,0.6,350,20,0.2,3.5,38000,4.2,720
Netflix,OTT,0.7,750,0,0,0,0,4.5,525
Prime Video,OTT,1.2,900,0,0,0,0,4.4,1080
Hotstar,OTT,1.5,500,0,0,0,0,4,750
JioCinema,OTT,1.8,350,0,0,0,0,3.8,630
BigBasket,Online Grocery,0.5,1200,15,0.8,2.8,12000,4.2,600
Netmeds,Online Pharmacy,0.2,550,18,1.5,2,8000,4.1,110
