case_id,victim_age_group,victim_gender,victim_income_bracket,fraud_type,contact_method,initial_contact_time,grooming_duration_days,amount_lost_rs,victim_education_level,victim_financial_literacy_score,reported_to_authorities,victim_support_provided,recidivism_in_network,prevention_tip_shared
Negative,True,True,Chennai,At large,2026-04-01,Rural,Arrested,42,N/A,VIC-0156-001,REP-0156-001,Unresolved,Arrested,PRE-0156-001
Rural,Positive,Detected,True,High,CON-0156-002,Urban,False,AMO-0156-002,Under investigation,At large,Delhi,VIC-0156-002,12.5,25000
Chennai,Active,VIC-0156-003,VIC-0156-003,Detected,CON-0156-003,Under investigation,Rural,Closed,Resolved,Resolved,REP-0156-003,25000,REC-0156-003,100000
Medium,VIC-0156-004,2026-04-15,25000,Delhi,2026-04-01,Yes,Closed,AMO-0156-004,25000,Under investigation,42,VIC-0156-004,REC-0156-004,At large
Kolkata,Closed,Inactive,Inactive,Confirmed,CON-0156-005,High,Kolkata,True,Chennai,VIC-0156-005,Chennai,VIC-0156-005,Medium,42
42,Closed,No,Chennai,Detected,Under investigation,INI-0156-006,GRO-0156-006,Inactive,VIC-0156-006,Rural,Delhi,VIC-0156-006,0,Yes
12.5,42,Detected,Low,100000,Kolkata,Positive,Positive,Dropped,2026-03-15,85,Negative,2026-04-01,2026-04-15,PRE-0156-007
Compromised,Bangalore,Detected,Arrested,FRA-0156-008,1,INI-0156-008,Secure,Closed,Confirmed,Detected,REP-0156-008,Compromised,REC-0156-008,Secure
False,Yes,Low,Under investigation,85,Compromised,Filed,25000,,False,Mumbai,Confirmed,100000,Pending,Kolkata
Chennai,2026-03-15,Negative,85,No,Under investigation,Closed,Medium,Not detected,Delhi,Urban,REP-0156-010,True,Active,PRE-0156-010
Compromised,Confirmed,Mumbai,85,Yes,2026-03-15,100000,85,Bangalore,,VIC-0156-011,0,Delhi,Urban,PRE-0156-011
2026-03-15,No,0,Low,Yes,,Under investigation,1,2026-03-15,25000,2026-04-01,0,Yes,REC-0156-012,Mumbai
,Positive,No,N/A,42,Chennai,At large,1,12.5,25000,Low,N/A,Pending,True,Inactive
Unresolved,Urban,Inconclusive,Positive,Closed,CON-0156-014,Rural,True,Bangalore,Mumbai,Active,Delhi,12.5,Under investigation,Kolkata
CAS-0156-015,Secure,,1,Filed,Chennai,Filed,No,Bangalore,42,VIC-0156-015,High,12.5,100000,0
